age,workclass,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,income,capital,workclass.missing,native-country.missing
38,State-gov,12,Married-civ-spouse,Prof-specialty,Wife,White,Female,21,United-States,>50K,0,0,0
31,Self-emp-not-inc,12,Never-married,Sales,Not-in-family,Black,Male,40,United-States,>50K,0,0,0
31,Private,8,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,-1848,0,0
18,Private,9,Never-married,Transport-moving,Own-child,White,Male,30,United-States,<=50K,2907,0,0
46,Private,12,Married-civ-spouse,Craft-repair,Husband,White,Male,44,United-States,>50K,0,0,0
30,Private,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,50,United-States,<=50K,0,0,0
24,Private,8,Never-married,Craft-repair,Other-relative,White,Male,40,?,<=50K,594,0,1
30,Private,9,Divorced,Sales,Not-in-family,White,Male,58,United-States,<=50K,0,0,0
53,Private,4,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,0,0,0
45,Private,8,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0,0,0
46,Private,3,Never-married,Handlers-cleaners,Not-in-family,White,Male,50,United-States,<=50K,0,0,0
28,Private,8,Divorced,Exec-managerial,Not-in-family,White,Male,55,United-States,<=50K,0,0,0
29,Private,12,Never-married,Sales,Not-in-family,White,Male,45,United-States,<=50K,0,0,0
27,Self-emp-inc,10,Married-civ-spouse,Other-service,Wife,White,Female,36,United-States,>50K,0,0,0
30,?,9,Separated,?,Not-in-family,White,Male,60,United-States,<=50K,0,1,0
39,Private,9,Divorced,Exec-managerial,Unmarried,White,Female,15,United-States,<=50K,0,0,0
40,Self-emp-not-inc,9,Divorced,Craft-repair,Unmarried,White,Female,38,United-States,<=50K,0,0,0
32,Private,9,Never-married,Craft-repair,Not-in-family,White,Female,40,United-States,<=50K,0,0,0
19,Private,9,Never-married,Exec-managerial,Own-child,White,Female,35,United-States,<=50K,0,0,0
27,Private,8,Never-married,Farming-fishing,Own-child,Black,Male,30,United-States,<=50K,0,0,0
48,Local-gov,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,0,0,0
43,Private,8,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K,0,0,0
45,Private,8,Widowed,Other-service,Other-relative,Asian-Pac-Islander,Female,50,South,<=50K,0,0,0
17,Private,7,Never-married,Other-service,Own-child,White,Female,25,United-States,<=50K,-1721,0,0
54,Private,2,Divorced,Machine-op-inspct,Other-relative,White,Female,40,Nicaragua,<=50K,0,0,0
25,Private,8,Never-married,Transport-moving,Unmarried,White,Male,40,Mexico,<=50K,0,0,0
50,Local-gov,12,Married-civ-spouse,Protective-serv,Husband,White,Male,44,United-States,>50K,0,0,0
30,Private,8,Married-civ-spouse,Transport-moving,Husband,White,Male,73,United-States,>50K,0,0,0
31,Self-emp-not-inc,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,United-States,>50K,0,0,0
20,Private,8,Never-married,Handlers-cleaners,Own-child,White,Male,28,United-States,<=50K,0,0,0
57,Private,8,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,>50K,0,0,0
21,Private,8,Never-married,Farming-fishing,Own-child,White,Male,24,United-States,<=50K,0,0,0
50,Self-emp-inc,9,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,>50K,0,0,0
35,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,0,0,0
34,Private,9,Married-civ-spouse,Sales,Husband,White,Male,55,United-States,>50K,0,0,0
29,Private,2,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,?,<=50K,0,0,1
24,Private,10,Never-married,Other-service,Unmarried,White,Female,32,United-States,<=50K,0,0,0
34,Self-emp-not-inc,6,Married-civ-spouse,Transport-moving,Husband,White,Male,60,United-States,<=50K,0,0,0
46,Local-gov,12,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,Philippines,>50K,0,0,0
22,Private,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,<=50K,0,0,0
56,Private,9,Never-married,Prof-specialty,Not-in-family,White,Female,35,United-States,<=50K,0,0,0
56,Private,11,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,4101,0,0
25,Private,8,Separated,Protective-serv,Own-child,Black,Male,40,United-States,<=50K,0,0,0
38,Private,8,Never-married,Transport-moving,Unmarried,White,Male,40,United-States,<=50K,0,0,0
46,Federal-gov,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,>50K,0,0,0
33,Private,9,Never-married,Sales,Not-in-family,White,Male,40,United-States,<=50K,0,0,0
43,Private,9,Married-civ-spouse,Tech-support,Husband,Black,Male,40,Jamaica,>50K,0,0,0
25,Private,8,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K,0,0,0
49,Local-gov,8,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0,0,0
61,Private,8,Married-civ-spouse,Other-service,Husband,Black,Male,40,United-States,<=50K,0,0,0
43,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,0,0,0
36,Private,10,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,<=50K,0,0,0
37,Private,9,Divorced,Sales,Not-in-family,White,Female,45,United-States,<=50K,0,0,0
39,Private,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,>50K,0,0,0
54,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,<=50K,0,0,0
47,State-gov,8,Married-civ-spouse,Protective-serv,Husband,Amer-Indian-Eskimo,Male,40,United-States,<=50K,0,0,0
47,Private,3,Never-married,Transport-moving,Not-in-family,Other,Male,48,Puerto-Rico,<=50K,0,0,0
27,Federal-gov,9,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,<=50K,0,0,0
58,Federal-gov,12,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40,United-States,>50K,0,0,0
23,Private,12,Never-married,Sales,Not-in-family,White,Male,48,United-States,<=50K,0,0,0
39,Local-gov,12,Never-married,Prof-specialty,Not-in-family,White,Female,44,United-States,>50K,0,0,0
64,Self-emp-not-inc,8,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K,0,0,0
34,Private,8,Never-married,Craft-repair,Not-in-family,White,Male,45,United-States,<=50K,0,0,0
51,?,13,Married-civ-spouse,?,Husband,White,Male,40,United-States,<=50K,0,1,0
18,Private,6,Never-married,Machine-op-inspct,Own-child,Amer-Indian-Eskimo,Male,40,United-States,<=50K,0,0,0
18,?,7,Never-married,?,Own-child,White,Male,7,United-States,<=50K,0,1,0
41,Private,8,Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,40,?,<=50K,0,0,1
24,Private,8,Divorced,Adm-clerical,Not-in-family,White,Female,32,United-States,<=50K,0,0,0
18,Never-worked,5,Never-married,?,Own-child,White,Male,40,United-States,<=50K,0,0,0
34,Private,12,Never-married,Sales,Own-child,White,Male,40,United-States,>50K,0,0,0
21,Private,8,Never-married,Protective-serv,Not-in-family,White,Male,40,United-States,<=50K,0,0,0
39,Self-emp-not-inc,10,Married-civ-spouse,Transport-moving,Husband,White,Male,70,United-States,>50K,0,0,0
49,Self-emp-not-inc,8,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0,0,0
54,Self-emp-inc,8,Married-civ-spouse,Exec-managerial,Husband,White,Male,98,United-States,>50K,0,0,0
51,Private,8,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,<=50K,0,0,0
24,Private,8,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,<=50K,0,0,0
30,Private,8,Never-married,Other-service,Own-child,White,Male,10,United-States,<=50K,0,0,0
39,Private,12,Separated,Prof-specialty,Unmarried,White,Female,50,United-States,>50K,0,0,0
20,Private,9,Never-married,Tech-support,Own-child,White,Male,15,United-States,<=50K,0,0,0
32,Private,14,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,<=50K,0,0,0
34,Private,8,Never-married,Exec-managerial,Other-relative,White,Male,50,United-States,<=50K,0,0,0
28,Private,8,Separated,Handlers-cleaners,Not-in-family,Other,Male,30,United-States,<=50K,0,0,0
37,Private,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,-1977,0,0
72,Private,12,Divorced,Sales,Unmarried,White,Female,28,United-States,<=50K,0,0,0
29,Private,8,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,48,Ireland,<=50K,3137,0,0
26,Private,2,Married-civ-spouse,Farming-fishing,Husband,White,Male,30,Mexico,<=50K,0,0,0
37,Private,8,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K,-1740,0,0
36,Private,8,Divorced,Craft-repair,Unmarried,White,Male,40,United-States,<=50K,0,0,0
44,Private,8,Divorced,Other-service,Unmarried,White,Female,40,United-States,<=50K,0,0,0
57,Self-emp-not-inc,8,Married-civ-spouse,Farming-fishing,Husband,White,Male,20,United-States,<=50K,0,0,0
44,Federal-gov,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,>50K,0,0,0
39,Federal-gov,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,48,United-States,<=50K,0,0,0
37,Private,8,Divorced,Sales,Unmarried,White,Female,40,United-States,<=50K,0,0,0
34,State-gov,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,>50K,-1848,0,0
56,Private,8,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,0,0,0
62,Private,8,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,48,United-States,<=50K,0,0,0
46,Self-emp-inc,7,Married-civ-spouse,Craft-repair,Husband,White,Male,45,?,<=50K,0,0,1
50,State-gov,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,>50K,0,0,0
43,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K,0,0,0
22,Private,9,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K,0,0,0
37,Local-gov,9,Separated,Protective-serv,Own-child,Other,Male,52,United-States,<=50K,0,0,0
52,Private,7,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0,0,0
40,Self-emp-inc,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,>50K,0,0,0
22,Private,8,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K,0,0,0
41,Private,8,Never-married,Sales,Not-in-family,White,Male,50,United-States,<=50K,0,0,0
41,Private,8,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,0,0,0
41,Private,2,Married-civ-spouse,Farming-fishing,Husband,White,Male,30,Mexico,<=50K,0,0,0
49,Private,13,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,>50K,0,0,0
29,Federal-gov,8,Divorced,Adm-clerical,Not-in-family,Black,Female,40,United-States,<=50K,0,0,0
56,Private,10,Never-married,Farming-fishing,Not-in-family,White,Male,70,United-States,<=50K,0,0,0
31,Private,5,Never-married,Transport-moving,Own-child,White,Male,99,Cuba,<=50K,0,0,0
56,Private,4,Widowed,Sales,Unmarried,White,Female,40,United-States,<=50K,0,0,0
24,Private,13,Never-married,Prof-specialty,Own-child,White,Male,60,United-States,<=50K,0,0,0
45,Private,10,Widowed,Exec-managerial,Not-in-family,White,Female,45,United-States,<=50K,0,0,0
18,Private,8,Never-married,Sales,Own-child,White,Female,20,United-States,<=50K,0,0,0
79,Private,12,Never-married,Other-service,Not-in-family,White,Female,40,United-States,<=50K,0,0,0
23,Private,8,Never-married,Craft-repair,Own-child,Black,Male,40,United-States,<=50K,2597,0,0
54,Private,8,Widowed,Other-service,Unmarried,White,Female,40,United-States,<=50K,0,0,0
41,Private,8,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0,0,0
18,?,9,Never-married,?,Own-child,White,Female,16,United-States,<=50K,0,1,0
31,Private,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,>50K,0,0,0
41,Private,2,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,Mexico,<=50K,3411,0,0
72,Self-emp-not-inc,3,Married-civ-spouse,Transport-moving,Husband,White,Male,14,United-States,<=50K,0,0,0
36,Private,8,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,44,United-States,>50K,0,0,0
22,State-gov,12,Never-married,Adm-clerical,Own-child,White,Female,10,United-States,<=50K,0,0,0
45,Self-emp-inc,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K,0,0,0
18,Private,8,Never-married,Sales,Own-child,White,Female,24,United-States,<=50K,0,0,0
22,State-gov,8,Never-married,Other-service,Unmarried,White,Female,45,United-States,<=50K,0,0,0
37,Local-gov,8,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,<=50K,0,0,0
27,Private,8,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,40,Jamaica,<=50K,0,0,0
28,Private,8,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,0,0,0
28,Private,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0,0,0
19,Local-gov,8,Never-married,Craft-repair,Other-relative,Black,Female,40,United-States,<=50K,0,0,0
61,Private,5,Widowed,Farming-fishing,Unmarried,White,Male,20,United-States,<=50K,0,0,0
44,Private,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,<=50K,0,0,0
51,Private,8,Married-civ-spouse,Craft-repair,Husband,White,Male,55,United-States,>50K,0,0,0
29,Private,8,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,<=50K,0,0,0
66,Private,2,Married-civ-spouse,Transport-moving,Husband,White,Male,12,United-States,<=50K,1173,0,0
46,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,>50K,3103,0,0
48,State-gov,8,Married-civ-spouse,Adm-clerical,Husband,White,Male,35,United-States,>50K,0,0,0
28,Private,8,Never-married,Protective-serv,Unmarried,Amer-Indian-Eskimo,Female,40,United-States,<=50K,0,0,0
57,Private,6,Married-civ-spouse,Other-service,Husband,White,Male,52,United-States,<=50K,0,0,0
52,Private,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,>50K,0,0,0
26,Private,8,Married-civ-spouse,Other-service,Husband,White,Male,53,Mexico,<=50K,0,0,0
44,Private,8,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,0,0,0
52,Private,10,Separated,Other-service,Unmarried,White,Female,35,United-States,<=50K,0,0,0
22,State-gov,9,Never-married,Other-service,Own-child,Black,Male,20,United-States,<=50K,0,0,0
40,Private,9,Divorced,Craft-repair,Unmarried,White,Female,40,England,<=50K,0,0,0
21,Private,9,Never-married,Adm-clerical,Own-child,White,Male,40,United-States,<=50K,0,0,0
59,Private,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,0,0,0
29,Private,9,Never-married,Sales,Not-in-family,White,Male,35,United-States,<=50K,0,0,0
25,Private,12,Never-married,Adm-clerical,Own-child,White,Male,40,United-States,<=50K,0,0,0
45,Local-gov,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,0,0,0
39,Private,8,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0,0,0
45,Private,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,>50K,0,0,0
62,Self-emp-not-inc,3,Married-civ-spouse,Sales,Husband,White,Male,5,United-States,<=50K,0,0,0
20,Private,8,Never-married,Handlers-cleaners,Not-in-family,White,Male,43,United-States,<=50K,0,0,0
33,Private,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K,-1977,0,0
17,Private,5,Never-married,Handlers-cleaners,Own-child,White,Male,12,United-States,<=50K,0,0,0
28,Private,7,Never-married,Prof-specialty,Unmarried,White,Female,40,United-States,<=50K,0,0,0
17,?,5,Never-married,?,Other-relative,White,Male,6,United-States,<=50K,0,1,0
27,State-gov,12,Never-married,Prof-specialty,Not-in-family,White,Male,9,United-States,<=50K,0,0,0
58,Local-gov,8,Married-civ-spouse,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,80,Philippines,>50K,0,0,0
43,Private,9,Divorced,Machine-op-inspct,Unmarried,Black,Female,40,United-States,<=50K,0,0,0
33,Private,8,Never-married,Craft-repair,Not-in-family,White,Male,30,United-States,<=50K,0,0,0
50,Private,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,46,United-States,>50K,0,0,0
28,Private,8,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,0,0,0
23,Private,4,Never-married,Machine-op-inspct,Other-relative,White,Male,35,Mexico,<=50K,0,0,0
42,Self-emp-not-inc,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K,0,0,0
35,Private,9,Divorced,Other-service,Unmarried,Black,Female,40,United-States,<=50K,0,0,0
31,Private,12,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K,0,0,0
22,?,9,Never-married,?,Own-child,White,Male,40,United-States,<=50K,0,1,0
28,Private,8,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,0,0,0
26,Private,10,Never-married,Sales,Unmarried,White,Female,54,United-States,<=50K,0,0,0
18,?,9,Never-married,?,Own-child,White,Male,40,United-States,<=50K,0,1,0
58,Self-emp-not-inc,8,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,<=50K,0,0,0
47,Private,8,Divorced,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K,0,0,0
28,Private,8,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,0,0,0
43,Local-gov,12,Divorced,Prof-specialty,Unmarried,Black,Female,42,United-States,<=50K,0,0,0
59,Private,8,Married-civ-spouse,Other-service,Other-relative,White,Male,40,Nicaragua,<=50K,0,0,0
44,Local-gov,12,Married-civ-spouse,Prof-specialty,Other-relative,Black,Female,40,United-States,<=50K,0,0,0
27,Private,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,0,0,0
42,State-gov,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,>50K,0,0,0
52,Private,3,Never-married,Machine-op-inspct,Not-in-family,Black,Female,40,United-States,<=50K,0,0,0
52,Private,5,Divorced,Other-service,Other-relative,White,Female,25,United-States,<=50K,0,0,0
31,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,France,>50K,0,0,0
26,Private,8,Married-civ-spouse,Farming-fishing,Husband,White,Male,70,United-States,<=50K,0,0,0
48,Private,8,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Dominican-Republic,<=50K,0,0,0
43,Private,12,Married-civ-spouse,Craft-repair,Husband,White,Male,48,United-States,<=50K,0,0,0
20,Private,9,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K,0,0,0
30,Private,9,Married-civ-spouse,Tech-support,Husband,White,Male,50,United-States,>50K,0,0,0
19,Private,9,Never-married,Handlers-cleaners,Own-child,Black,Male,16,United-States,<=50K,0,0,0
44,Private,12,Divorced,Adm-clerical,Unmarried,White,Female,32,United-States,<=50K,0,0,0
32,Self-emp-inc,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,0,0,0
42,Private,6,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,0,0,0
57,?,3,Married-civ-spouse,?,Other-relative,White,Male,45,Dominican-Republic,<=50K,0,1,0
57,Private,13,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,0,0,0
22,Private,9,Never-married,Handlers-cleaners,Own-child,White,Female,36,United-States,<=50K,0,0,0
28,Self-emp-inc,8,Never-married,Adm-clerical,Own-child,White,Female,35,United-States,<=50K,0,0,0
38,Private,12,Married-civ-spouse,Tech-support,Husband,White,Male,45,United-States,<=50K,0,0,0
68,Self-emp-inc,8,Widowed,Other-service,Unmarried,White,Female,15,United-States,<=50K,0,0,0
25,Self-emp-not-inc,10,Married-civ-spouse,Other-service,Wife,White,Female,45,United-States,<=50K,0,0,0
31,Private,9,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K,0,0,0
47,Private,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K,-1977,0,0
84,Private,8,Widowed,Priv-house-serv,Not-in-family,White,Female,40,England,<=50K,0,0,0
39,Private,12,Married-civ-spouse,Handlers-cleaners,Wife,Asian-Pac-Islander,Female,37,Philippines,<=50K,0,0,0
57,Self-emp-not-inc,8,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,<=50K,0,0,0
48,Local-gov,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,35,United-States,>50K,0,0,0
23,Private,13,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,<=50K,0,0,0
56,Local-gov,5,Widowed,Other-service,Unmarried,White,Female,25,United-States,<=50K,0,0,0
22,?,7,Never-married,?,Not-in-family,White,Male,30,United-States,<=50K,0,1,0
47,Private,8,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,<=50K,0,0,0
38,State-gov,13,Never-married,Prof-specialty,Other-relative,White,Female,40,United-States,<=50K,0,0,0
45,Private,12,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,>50K,0,0,0
28,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,Husband,Other,Male,70,Iran,>50K,0,0,0
41,Private,9,Never-married,Other-service,Not-in-family,Black,Male,20,United-States,<=50K,0,0,0
54,Private,8,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,-2051,0,0
50,Private,8,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,0,0,0
23,Private,8,Never-married,Sales,Own-child,White,Male,40,United-States,<=50K,0,0,0
24,Federal-gov,12,Never-married,Armed-Forces,Not-in-family,White,Male,40,United-States,<=50K,0,0,0
19,Private,6,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,<=50K,0,0,0
42,State-gov,11,Divorced,Tech-support,Not-in-family,Black,Female,40,United-States,<=50K,-1974,0,0
29,?,8,Never-married,?,Not-in-family,White,Male,32,?,<=50K,0,1,1
31,Private,6,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,>50K,0,0,0
34,Private,7,Married-spouse-absent,Handlers-cleaners,Unmarried,White,Male,35,Mexico,<=50K,0,0,0
59,Private,12,Married-civ-spouse,Craft-repair,Husband,White,Male,4,United-States,<=50K,0,0,0
